workerId,areaCode,ppm,at
W-1101,SRU,3.3,2026-08-25T00:00:00
W-1101,SRU,2.4,2026-08-25T00:30:00
W-1101,SRU,4.3,2026-08-25T01:00:00
W-1101,SRU,4.3,2026-08-25T01:30:00
W-1101,SRU,15.8,2026-08-25T02:00:00
W-1101,SRU,21.5,2026-08-25T02:30:00
W-1101,SRU,7.7,2026-08-25T03:00:00
W-1101,SRU,2.3,2026-08-25T03:30:00
W-1101,SRU,4.5,2026-08-25T04:00:00
W-1101,SRU,3.8,2026-08-25T04:30:00
W-1101,SRU,5.8,2026-08-25T05:00:00
W-1101,SRU,5.2,2026-08-25T05:30:00
W-1101,SRU,3.5,2026-08-25T06:00:00
W-1101,SRU,3.6,2026-08-25T06:30:00
W-1101,SRU,6.0,2026-08-25T07:00:00
W-1101,SRU,5.7,2026-08-25T07:30:00
W-1104,ARU,4.1,2026-08-25T08:00:00
W-1104,ARU,4.8,2026-08-25T08:30:00
W-1104,ARU,3.3,2026-08-25T09:00:00
W-1104,ARU,4.0,2026-08-25T09:30:00
W-1104,ARU,4.0,2026-08-25T10:00:00
W-1104,ARU,2.2,2026-08-25T10:30:00
W-1104,ARU,4.7,2026-08-25T11:00:00
W-1104,ARU,3.4,2026-08-25T11:30:00
W-1104,ARU,2.1,2026-08-25T12:00:00
W-1104,ARU,2.9,2026-08-25T12:30:00
W-1104,ARU,4.5,2026-08-25T13:00:00
W-1104,ARU,4.0,2026-08-25T13:30:00
W-1104,ARU,4.4,2026-08-25T14:00:00
W-1104,ARU,4.7,2026-08-25T14:30:00
W-1104,ARU,3.9,2026-08-25T15:00:00
W-1104,ARU,3.8,2026-08-25T15:30:00
W-1110,DCU,2.5,2026-08-25T00:00:00
W-1110,DCU,1.9,2026-08-25T00:30:00
W-1110,DCU,4.8,2026-08-25T01:00:00
W-1110,DCU,9.0,2026-08-25T01:30:00
W-1110,DCU,3.5,2026-08-25T02:00:00
W-1110,DCU,2.1,2026-08-25T02:30:00
W-1110,DCU,7.0,2026-08-25T03:00:00
W-1110,DCU,7.6,2026-08-25T03:30:00
W-1110,DCU,1.6,2026-08-25T04:00:00
W-1110,DCU,1.6,2026-08-25T04:30:00
W-1110,DCU,2.7,2026-08-25T05:00:00
W-1110,DCU,2.9,2026-08-25T05:30:00
W-1110,DCU,2.8,2026-08-25T06:00:00
W-1110,DCU,3.0,2026-08-25T06:30:00
W-1110,DCU,3.0,2026-08-25T07:00:00
W-1110,DCU,1.5,2026-08-25T07:30:00
W-1113,HCU,1.5,2026-08-25T08:00:00
W-1113,HCU,1.6,2026-08-25T08:30:00
W-1113,HCU,1.9,2026-08-25T09:00:00
W-1113,HCU,1.4,2026-08-25T09:30:00
W-1113,HCU,1.7,2026-08-25T10:00:00
W-1113,HCU,2.4,2026-08-25T10:30:00
W-1113,HCU,1.8,2026-08-25T11:00:00
W-1113,HCU,2.5,2026-08-25T11:30:00
W-1113,HCU,1.0,2026-08-25T12:00:00
W-1113,HCU,2.5,2026-08-25T12:30:00
W-1113,HCU,2.3,2026-08-25T13:00:00
W-1113,HCU,1.5,2026-08-25T13:30:00
W-1113,HCU,1.9,2026-08-25T14:00:00
W-1113,HCU,1.9,2026-08-25T14:30:00
W-1113,HCU,1.6,2026-08-25T15:00:00
W-1113,HCU,2.2,2026-08-25T15:30:00
W-1116,DHDT,0.9,2026-08-25T16:00:00
W-1116,DHDT,1.5,2026-08-25T16:30:00
W-1116,DHDT,0.8,2026-08-25T17:00:00
W-1116,DHDT,1.2,2026-08-25T17:30:00
W-1116,DHDT,1.2,2026-08-25T18:00:00
W-1116,DHDT,1.5,2026-08-25T18:30:00
W-1116,DHDT,1.3,2026-08-25T19:00:00
W-1116,DHDT,1.2,2026-08-25T19:30:00
W-1116,DHDT,0.9,2026-08-25T20:00:00
W-1116,DHDT,1.2,2026-08-25T20:30:00
W-1116,DHDT,2.2,2026-08-25T21:00:00
W-1116,DHDT,2.2,2026-08-25T21:30:00
W-1116,DHDT,1.6,2026-08-25T22:00:00
W-1116,DHDT,1.8,2026-08-25T22:30:00
W-1116,DHDT,3.8,2026-08-25T23:00:00
W-1116,DHDT,1.9,2026-08-25T23:30:00
W-1119,CDU-III,1.3,2026-08-25T00:00:00
W-1119,CDU-III,0.7,2026-08-25T00:30:00
W-1119,CDU-III,1.6,2026-08-25T01:00:00
W-1119,CDU-III,1.5,2026-08-25T01:30:00
W-1119,CDU-III,0.9,2026-08-25T02:00:00
W-1119,CDU-III,0.8,2026-08-25T02:30:00
W-1119,CDU-III,0.9,2026-08-25T03:00:00
W-1119,CDU-III,0.7,2026-08-25T03:30:00
W-1119,CDU-III,1.4,2026-08-25T04:00:00
W-1119,CDU-III,0.9,2026-08-25T04:30:00
W-1119,CDU-III,1.5,2026-08-25T05:00:00
W-1119,CDU-III,1.2,2026-08-25T05:30:00
W-1119,CDU-III,1.3,2026-08-25T06:00:00
W-1119,CDU-III,1.3,2026-08-25T06:30:00
W-1119,CDU-III,1.0,2026-08-25T07:00:00
W-1119,CDU-III,0.7,2026-08-25T07:30:00
W-1122,ETP,1.0,2026-08-25T08:00:00
